available_recall,eval_date,matched_cases_recalled,paper_id,pool_available_cases,raw_recall,selected_candidates,threshold
0.0,2025-09-23,0,12,0,0.0,3,0.0021169195061595683
0.0,2025-09-23,0,12,0,0.0,4,0.0016700164234013987
0.0,2025-09-23,0,12,0,0.0,5,0.0015832610016204673
0.0,2025-09-23,0,12,0,0.0,6,0.001421315857536665
0.0,2025-09-23,0,12,0,0.0,7,0.0014212326452088546
0.0,2025-09-23,0,12,0,0.0,8,0.0011056704983659973
0.0,2025-09-23,0,12,0,0.0,11,0.0010801368103587295
0.0,2025-09-23,0,12,0,0.0,12,0.0007048306050686864
0.0,2025-09-23,0,12,0,0.0,13,0.0006751687188020163
0.0,2025-09-23,0,12,0,0.0,15,0.000675085506474206
0.0,2025-09-23,0,12,0,0.0,16,0.00019721691709887314
0.0,2025-09-23,0,12,0,0.0,18,7.506173043849221e-05
0.0,2025-09-23,0,12,0,0.0,19,7.324830311066852e-05
0.0,2025-09-23,0,12,0,0.0,20,6.473707377491256e-05
0.0,2025-09-23,0,12,0,0.0,21,6.0474524227739754e-05
0.0,2025-09-23,0,12,0,0.0,22,5.745079801635277e-05
0.0,2025-09-23,0,12,0,0.0,23,3.404491734302386e-05
0.0,2025-09-23,0,12,0,0.0,24,2.0518142148697417e-05
0.0,2025-09-23,0,12,0,0.0,25,9.119174288309964e-06
0.0,2025-09-23,0,12,0,0.0,26,6.815935637920619e-06
0.0,2025-09-23,0,12,0,0.0,27,8.754945519930316e-07
0.0,2025-09-23,0,12,0,0.0,28,8.32123278103976e-08
0.0,2025-09-23,0,12,0,0.0,171,0.0
0.0,2023-07-05,0,13,1,0.0,1,0.0059199557164656275
0.0,2023-07-05,0,13,1,0.0,2,0.0030217514855340514
0.0,2023-07-05,0,13,1,0.0,3,0.0004188479522178111
0.0,2023-07-05,0,13,1,0.0,4,4.6359027895685505e-22
0.0,2023-07-05,0,13,1,0.0,7,7.72650464928092e-23
1.0,2023-07-05,1,13,1,0.3333333333333333,100,0.0
0.0,2024-01-02,0,14,0,0.0,1,0.006474956707894067
0.0,2024-01-02,0,14,0,0.0,2,0.0026685216224835388
0.0,2024-01-02,0,14,0,0.0,3,9.851900249378736e-05
0.0,2024-01-02,0,14,0,0.0,164,0.0
0.0,2024-09-24,0,15,0,0.0,1,0.008069433004821018
0.0,2024-09-24,0,15,0,0.0,2,0.007722463427780148
0.0,2024-09-24,0,15,0,0.0,3,0.007087226965966518
0.0,2024-09-24,0,15,0,0.0,4,0.006431905819030299
0.0,2024-09-24,0,15,0,0.0,5,0.006243528524492492
0.0,2024-09-24,0,15,0,0.0,6,0.006022816795163593
0.0,2024-09-24,0,15,0,0.0,7,0.005925897505171325
0.0,2024-09-24,0,15,0,0.0,8,0.005885391751623545
0.0,2024-09-24,0,15,0,0.0,9,0.0038318768353532307
0.0,2024-09-24,0,15,0,0.0,10,0.0035998809771243087
0.0,2024-09-24,0,15,0,0.0,11,0.0035544852300159395
0.0,2024-09-24,0,15,0,0.0,12,0.003421296514859644
0.0,2024-09-24,0,15,0,0.0,13,0.002916651588618718
0.0,2024-09-24,0,15,0,0.0,14,0.002814600286196907
0.0,2024-09-24,0,15,0,0.0,15,0.002356610598478999
0.0,2024-09-24,0,15,0,0.0,16,0.00226193795946712
0.0,2024-09-24,0,15,0,0.0,17,0.0022194063391095136
0.0,2024-09-24,0,15,0,0.0,18,0.002100470664223834
0.0,2024-09-24,0,15,0,0.0,19,0.002090009630329456
0.0,2024-09-24,0,15,0,0.0,20,0.001958125344298017
0.0,2024-09-24,0,15,0,0.0,21,0.001896539579865642
0.0,2024-09-24,0,15,0,0.0,22,0.0014809739354450207
0.0,2024-09-24,0,15,0,0.0,23,0.0014450259566503954
0.0,2024-09-24,0,15,0,0.0,27,0.0014107974634185293
0.0,2024-09-24,0,15,0,0.0,28,0.0005172601627780268
0.0,2024-09-24,0,15,0,0.0,29,0.0004901318997323223
0.0,2024-09-24,0,15,0,0.0,32,0.00045590340650045603
0.0,2024-09-24,0,15,0,0.0,33,0.00033311205887195326
0.0,2024-09-24,0,15,0,0.0,34,6.159774985035913e-05
0.0,2024-09-24,0,15,0,0.0,35,6.135675627757075e-05
0.0,2024-09-24,0,15,0,0.0,36,4.225622092505489e-05
0.0,2024-09-24,0,15,0,0.0,37,3.4228493231866216e-05
0.0,2024-09-24,0,15,0,0.0,38,2.921944544183702e-05
0.0,2024-09-24,0,15,0,0.0,39,2.1363740952438906e-05
0.0,2024-09-24,0,15,0,0.0,40,1.0364077086010196e-06
0.0,2024-09-24,0,15,0,0.0,139,0.0
0.0,2023-06-23,0,16,0,0.0,100,0.0
0.0,2023-07-07,0,17,0,0.0,1,0.005251914826024782
0.0,2023-07-07,0,17,0,0.0,2,0.0032882965175571642
0.0,2023-07-07,0,17,0,0.0,3,0.0022978206459183985
0.0,2023-07-07,0,17,0,0.0,4,0.0022278751609222255
0.0,2023-07-07,0,17,0,0.0,5,0.0017275176708362503
0.0,2023-07-07,0,17,0,0.0,6,0.0012271349702582357
0.0,2023-07-07,0,17,0,0.0,7,0.0012026899014935988
0.0,2023-07-07,0,17,0,0.0,9,0.000979079902755419
0.0,2023-07-07,0,17,0,0.0,10,0.0007913059591301567
0.0,2023-07-07,0,17,0,0.0,11,0.0007883945896091987
0.0,2023-07-07,0,17,0,0.0,12,0.00066437564829832
0.0,2023-07-07,0,17,0,0.0,13,0.0005510349089745699
0.0,2023-07-07,0,17,0,0.0,15,0.0004472435894937608
0.0,2023-07-07,0,17,0,0.0,16,0.00036388102771364625
0.0,2023-07-07,0,17,0,0.0,18,0.0002856451727907607
0.0,2023-07-07,0,17,0,0.0,19,3.7653675267134615e-05
0.0,2023-07-07,0,17,0,0.0,20,1.314825633652376e-05
0.0,2023-07-07,0,17,0,0.0,21,9.000575619694447e-06
0.0,2023-07-07,0,17,0,0.0,22,1.8911473307005782e-07
0.0,2023-07-07,0,17,0,0.0,124,0.0
0.0,2026-02-05,0,18,0,0.0,1,0.03994904359461769
